Name,Address1,Address2,City,State,Code,Website
Amherst Brewing Company,24 North Pleasant Street,?,Amherst,MA,1002,www.amherstbrewing.com
Boston Beer Company,30 Germania Street,?,Boston,MA,2130,www.samueladams.com
Boston Beer Works,61 Brookline Avenue,?,Boston,MA,2215,?
Brewery at Martha's Vineyard,?,?,Oak Bluffs,MA,?,?
Buzzards Bay Brewing Inc.,98 Horseneck Rd,?,Westport,MA,2790,www.buzzardsbrew.com
Cambridge Brewing,1 Kendall Square #100,?,Cambridge,MA,2139,www.cambrew.com
Cape Ann Brewing,27 Commercial Street,?,Gloucester,MA,1930,?
Commonwealth Brewing #1,?,?,Boston,MA,?,?
Harpoon Brewery - Boston,306 Northern Avenue,?,Boston,MA,2210,www.harpoonbrewery.com
John Harvard's Brew House - Framingham,1 Worcester Road,?,Framingham,MA,1701,?
John Harvard's Brew House - Harvard Square,33 Dunster Street,?,Cambridge,MA,2138,?
Mercury Brewing Company,23 Hayward St.,?,Ipswich,MA,1938,www.mercurybrewing.com
New Century Brewing Company,PO Box 1498,?,Boston,MA,2117,?
Paper City Brewing Company,108 Cabot St.,?,Holyoke,MA,1040,?
Wachusetts Brewing Company,175 State Road East,?,Westminster,MA,1473,www.wachusettbrew.com
Watch City Brewing,256 Moody Street,?,Waltham,MA,2453,?
Element Brewing Company,30 Bridge St,?,Millers Falls,MA,01349,www.elementbeer.com
