Name,Address,City,State,Code,Website
Amerisports Brew Pub,8201 NE Birmingham Road,Kansas City,MO,64161,?
Anheuser-Busch,One Busch Place,Saint Louis,MO,63118,www.anheuser-busch.com
Augusta Brewing,5221 Water Street,Augusta,MO,63332,?
Bard's Tale Beer Company,211 NW Ward Road,Lee's Summit,MO,?,?
Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,MO,64108,www.blvdbeer.com
Dirt Cheap Cigarettes and Beer,895 Bolger Court,Fenton,MO,63026,?
Flat Branch Pub & Brewing,115 S. Fifth St.,Columbia,MO,65201,www.flatbranch.com
McCoy's Public House and Brewkitchen,4057 Pennsylvania Avenue,Kansas City,MO,64111,?
O'Fallon Brewery,26 West Industrial Drive,O'Fallon,MO,63366,?
Route 66 Brewery,?,Saint Louis,MO,?,?
Saint Louis Brewery / Schlafy Tap Room,2100 Locust Street,Saint Louis,MO,63103,www.schlafly.com
Springfield Brewing,305 South Market Street,Springfield,MO,65806,?
Trailhead Brewing Company,921 South Riverside Drive,Saint Charles,MO,63301,?
The St. Louis Brewrey,2100 Locust Street,St. Louis,MO,63103,http://www.schlafly.com
