Name,Address1,Address2,City,State,Code,Website
Anacortes Brewing,320 Commercial Avenue,?,Anacortes,WA,98221,www.anacortesrockfish.com
Baron Brewing Company,1605 S 93rd Building E Unit L,?,Seattle,WA,98108,www.baronbeer.com
Big Time Brewing,4133 University Way NE,?,Seattle,WA,98105,www.bigtimebrewery.com
Boundary Bay Brewery and Bistro,1107 Railroad Avenue,?,Bellingham,WA,98227,?
Diamond Knot Brewery & Alehouse,621 Front Street,?,Mukilteo,WA,98275,www.diamondknot.com
Dick's Brewing,5945 Prather Road,?,Centralia,WA,98531,?
Eagle Brewing,625 Fourth Street,?,Mukilteo,WA,98275,?
Ellersick Brewing Big E Ales,5030 208th ST SW Ste. A,?,Lynnwood,WA,98036,www.ellersickbrewing.com
Elliott Bay Brewery and Pub,4720 California Avenue SW,?,Seattle,WA,98116,?
Elysian Brewery & Public House,1221 East Pike Street,?,Seattle,WA,98122,www.elysianbrewing.com
Elysian Brewing - TangleTown,2106 North 55th Street,?,Seattle,WA,98103,?
Engine House #9,611 North Pine,?,Tacoma,WA,98406,?
Far West Ireland Brewing,?,?,Redmond,WA,98052,?
Fish Brewing Company & Fish Tail Brewpub,515 Jefferson Street SE,?,Olympia,WA,98501,www.fishbrewing.com
Flyers Restraunt and Brewery,32295 State Route 20,?,Oak Harbor,WA,98277,www.eatatflyers.com
Hale's Ales #3,4301 Leary Way NW,?,Seattle,WA,98107,?
Harmon Brewing Company,1938 Pacific Avenue,?,Tacoma,WA,98402,harmon.harmonbrewingco.com
Issaquah Brewhouse,35-C West Sunset Way,?,Issaquah,WA,98027,?
LaConner Brewing,117 South First Street,?,LaConner,WA,98257,www.insidelaconner.com
Maritime Pacific Brewing,1514 NW Leary Way,?,Seattle,WA,98107,?
McMenamins Mill Creek,13300 Bothell-Everett Highway #304,?,Mill Creek,WA,98012,?
Mill Creek Brewpub,11 North Palouse,?,Walla Walla,WA,99362,?
Northwest Brewwrks,?,?,Kirkland,WA,?,?
Orchard Street Brewery,?,?,Bellingham,WA,?,?
Pacific Rim Brewing,9832 14th Avenue SW,?,Seattle,WA,98106,?
Pike Pub and Brewery,1415 First Avenue,?,Seattle,WA,98101,?
Pyramid Alehouse, Brewery and Restaurant - Seattle,1201 First Avenue South,?,Seattle,WA,98134,?
Pyramid Ales Brewery,91 S Royal Brougham Way,?,Seattle,WA,98134,www.pyramidbrew.com
Redhook Ale Brewery,?,?,Seattle,WA,?,www.redhook.com
Scuttlebutt Brewing,1524 West Marine View Drive,?,Everett,WA,98201,?
Skagit River Brewing,404 South Third Street,?,Mount Vernon,WA,98273,?
Snipes Mountain Microbrewery & Restaurant,905 Yakima Valley Highway,?,Sunnyside,WA,98944,?
Thomas Kemper Brewing,91 South Royal Brougham,?,Seattle,WA,98134,?
Twin Rivers Brewing,104 North Lewis Street,?,Monroe,WA,98272,?
Walking Man Brewery,240 SW First Street,?,Stevenson,WA,98648,www.walkingmanbrewing.com
Yakima Brewing and Malting / Grant's Ales,?,?,Yakima,WA,?,?
